Reference, Value, Footprint, Datasheet, Description, Digikey Part Number, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock, Price, Arrow Part Number, Arrow Price/Stock
"U2","MAX9062EBS+TG45","Horace:MAX9062EBS&plus_TG45","https://www.mouser.ee/datasheet/2/256/MAX9060_MAX9064-1292346.pdf","","MAX9062EBS+TG45-ND","","","","","https://www.mouser.ee/ProductDetail/Maxim-Integrated/MAX9062EBS%2bTG45/?qs=%2Fha2pyFadugqr%2FcRTUDuaPS5%2FIptdcYE%252BYHI0zeIk2z8mi%252BosEJdWA%3D%3D","1.13","",""
"C23","1uF","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","311-1438-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","0.09","",""
"C22","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","311-3340-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB104/?qs=T%2F3nPWKqOSbG4z8ii3LyCg%3D%3D","0.09","",""
"Y1","32.768kHz","Horace:XTAL320X150X90","https://www.mouser.ee/datasheet/2/3/ABS07-11028.pdf","","535-11898-1-ND","","","","","https://www.mouser.ee/ProductDetail/ABRACON/ABS07-32768KHZ-T/?qs=%2Fha2pyFadugN4hoomGn41l7KrmUVd52LRSNj8gLQ2%252BD39%252BRftJxjtQ%3D%3D","0.63","",""
"U5","MAX32630IWG+T","Horace:MAX32630IWG&plus_T","https://datasheets.maximintegrated.com/en/errata/MAX32630RevB1.pdf","","MAX32630IWG+TCT-ND","","","","","https://www.mouser.ee/ProductDetail/Maxim-Integrated/MAX32630IWG%2bT/?qs=%2Fha2pyFadugNdhEAZL3XLLNcZPXN5m9fc5LjagskeC4FthtQTn88kQ%3D%3D","10.43","",""
"IC5","PAN1326B","Horace:PAN1326B","https://b2b-api.panasonic.eu/file_stream/pids/fileversion/4417","PAN1316B and PAN1326B Bluetooth Low Energy RFI Modules","P16860TR-ND","2","Panasonic","PAN1326B","","https://www.mouser.ee/ProductDetail/Panasonic/ENW-89823A3KF/?qs=%2Fha2pyFadugEMkPaft2K%252BX4rEZi3Xa8Tvgu6yQH%2FzWw%3D","12.19","",""
"LED1","SML-LX0404SIUPGUSB","Horace:SML-LX0404SIUPGUSB","https://www.mouser.ee/datasheet/2/244/Lumex-6-8-2017-SML-LX0404SIUPGUSB-1176542.pdf","","67-2125-1-ND","","","","","https://www.mouser.ee/ProductDetail/Lumex/SML-LX0404SIUPGUSB/?qs=%2Fha2pyFaduhVJD5ZRhDg%2Ft7CXH9HmwqzW0VFa3tCuDCfVLKu7L8ofw8YssAqq7i9","0.86","",""
"R12","1k","Resistor_SMD:R_0402_1005Metric","https://www.mouser.ee/datasheet/2/427/crcw01005e3-1762154.pdf","","541-4279-2-ND","","","","","https://www.mouser.ee/ProductDetail/Vishay-Dale/CRCW01001K00JREL/?qs=sGAEpiMZZMvdGkrng054txORKzL4v1djRk1beXIIrRMZVMBzjQ6U%252BQ%3D%3D","0.14","",""
"U6","MX25U51245GZ4I54","Horace:MX25U51245GZ4I54","https://www.macronix.com/Lists/Datasheet/Attachments/7870/MX25U51245G%2054,%201.8V,%20512Mb,%20v1.2.pdf","","1092-1252-ND","","","","","","10.03","",""
"S2","434153017835","Horace:434153017835","http://katalog.we-online.de/em/datasheet/434153017835.pdf","Tactile Switches WS-TASV SMD Switch 3.5x2.9 x1.7mm Jbend","732-10143-2-ND","1","Wurth Elektronik","434153017835","710-434153017835","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/434153017835/?qs=DvsTirrhYfPgFeivYdn0UQ%3D%3D","0.48","",""
"C30","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","311-3340-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB104/?qs=T%2F3nPWKqOSbG4z8ii3LyCg%3D%3D","0.09","",""
"R13","1k","Resistor_SMD:R_0402_1005Metric","https://www.mouser.ee/datasheet/2/427/crcw01005e3-1762154.pdf","","541-4279-2-ND","","","","","https://www.mouser.ee/ProductDetail/Vishay-Dale/CRCW01001K00JREL/?qs=sGAEpiMZZMvdGkrng054txORKzL4v1djRk1beXIIrRMZVMBzjQ6U%252BQ%3D%3D","0.14","",""
"R14","1k","Resistor_SMD:R_0402_1005Metric","https://www.mouser.ee/datasheet/2/427/crcw01005e3-1762154.pdf","","541-4279-2-ND","","","","","https://www.mouser.ee/ProductDetail/Vishay-Dale/CRCW01001K00JREL/?qs=sGAEpiMZZMvdGkrng054txORKzL4v1djRk1beXIIrRMZVMBzjQ6U%252BQ%3D%3D","0.14","",""
"C24","1uF","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","311-1438-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","0.09","",""
"C25","1uF","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","311-1438-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","0.09","",""
"C26","1uF","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","311-1438-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","0.09","",""
"C27","1uF","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","311-1438-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","0.09","",""
"C28","1uF","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","311-1438-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","0.09","",""
"C29","1uF","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","311-1438-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","0.09","",""
